,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,155.35119358571808,"[3, 4, 6, 5, 9, 7, 1, 10, 8, 2]","[[4, 6, 9, 10, 2, 'M'], [3, 'M', 5, 7, 1, 8], [4, 6, 5, 10, 2, 'M'], ['M', 3, 9, 7, 1, 8]]",81.34360512591365,"[6, 4, 3, 1, 9, 5, 8, 10, 7, 2]","[[6, 4, 9, 10, 2, 'M'], [3, 1, 5, 8, 7, 'M'], [6, 4, 5, 10, 2, 'M'], ['M', 3, 1, 9, 8, 7]]",81.34360512591365,"[6, 4, 3, 1, 9, 5, 8, 10, 7, 2]","[[6, 4, 9, 10, 2, 'M'], [3, 1, 5, 8, 7, 'M'], [6, 4, 5, 10, 2, 'M'], ['M', 3, 1, 9, 8, 7]]",0.03124403953552246
2,204.2760905039998,"[7, 6, 2, 1, 8, 4, 10, 5, 9, 3]","[[2, 1, 'M', 10, 5, 9, 3], [7, 6, 8, 4, 'M'], ['M', 8, 4, 10, 9, 3], ['M', 7, 6, 2, 1, 5]]",100.90179802409924,"[6, 10, 2, 1, 8, 4, 5, 7, 9, 3]","[[10, 2, 1, 5, 9, 3, 'M'], [6, 8, 4, 7, 'M'], [10, 8, 4, 9, 3, 'M'], ['M', 6, 2, 1, 5, 7]]",100.90179802409924,"[6, 10, 2, 1, 8, 4, 5, 7, 9, 3]","[[10, 2, 1, 5, 9, 3, 'M'], [6, 8, 4, 7, 'M'], [10, 8, 4, 9, 3, 'M'], ['M', 6, 2, 1, 5, 7]]",0.031800031661987305
3,122.09396975890186,"[4, 3, 9, 2, 8, 7, 6, 5, 10, 1]","[[4, 9, 2, 7, 5, 'M'], [3, 8, 6, 10, 1, 'M'], ['M', 4, 3, 2, 6, 1], ['M', 9, 8, 7, 5, 10]]",91.12030358281176,"[4, 6, 8, 2, 9, 7, 3, 10, 5, 1]","[[4, 2, 9, 7, 5, 'M'], [6, 8, 3, 10, 1, 'M'], ['M', 4, 6, 2, 3, 1], ['M', 8, 9, 7, 10, 5]]",91.12030358281176,"[4, 6, 8, 2, 9, 7, 3, 10, 5, 1]","[[4, 2, 9, 7, 5, 'M'], [6, 8, 3, 10, 1, 'M'], ['M', 4, 6, 2, 3, 1], ['M', 8, 9, 7, 10, 5]]",0.012025833129882812
4,388.9338332470933,"[8, 9, 4, 6, 7, 1, 2, 5, 10, 3]","[['M', 4, 6, 7, 1, 3], [8, 9, 'M', 2, 5, 10], ['M', 9, 4, 7, 5], [8, 'M', 6, 1, 2, 10, 3]]",122.70889850571733,"[2, 4, 9, 6, 10, 7, 3, 1, 5, 8]","[[4, 6, 7, 3, 1, 'M'], [2, 9, 10, 5, 'M', 8], [4, 9, 7, 5, 'M'], [2, 'M', 6, 10, 3, 1, 8]]",122.70889850571733,"[2, 4, 9, 6, 10, 7, 3, 1, 5, 8]","[[4, 6, 7, 3, 1, 'M'], [2, 9, 10, 5, 'M', 8], [4, 9, 7, 5, 'M'], [2, 'M', 6, 10, 3, 1, 8]]",0.03690528869628906
5,169.67662627277642,"[2, 9, 3, 4, 8, 7, 1, 6, 5, 10]","[[2, 9, 8, 1, 6, 'M'], [3, 4, 7, 5, 10, 'M'], [2, 4, 8, 6, 'M'], ['M', 9, 3, 7, 1, 5, 10]]",142.58698715028027,"[2, 8, 3, 4, 9, 7, 1, 10, 5, 6]","[[2, 8, 9, 1, 6, 'M'], [3, 4, 7, 10, 5, 'M'], [2, 8, 4, 'M', 6], ['M', 3, 9, 7, 1, 10, 5]]",142.58698715028027,"[2, 8, 3, 4, 9, 7, 1, 10, 5, 6]","[[2, 8, 9, 1, 6, 'M'], [3, 4, 7, 10, 5, 'M'], [2, 8, 4, 'M', 6], ['M', 3, 9, 7, 1, 10, 5]]",0.01346731185913086
6,293.9472161263316,"[9, 10, 8, 7, 4, 1, 6, 5, 3, 2]","[[9, 10, 8, 7, 1, 'M'], ['M', 4, 6, 5, 3, 2], ['M', 9, 10, 8, 7, 4, 1], ['M', 6, 5, 3, 2]]",146.38822811171968,"[9, 3, 8, 7, 4, 10, 1, 6, 2, 5]","[[9, 8, 7, 10, 1, 'M'], [3, 4, 6, 2, 5, 'M'], ['M', 9, 8, 7, 4, 10, 1], ['M', 3, 6, 2, 5]]",146.38822811171968,"[9, 3, 8, 7, 4, 10, 1, 6, 2, 5]","[[9, 8, 7, 10, 1, 'M'], [3, 4, 6, 2, 5, 'M'], ['M', 9, 8, 7, 4, 10, 1], ['M', 3, 6, 2, 5]]",0.016041040420532227
7,412.4105831853682,"[9, 8, 5, 2, 3, 10, 6, 1, 4, 7]","[['M', 8, 2, 3, 1, 7], [9, 5, 10, 6, 4, 'M'], [9, 8, 5, 2, 1, 'M'], ['M', 3, 10, 6, 4, 7]]",150.01439681576827,"[4, 8, 6, 5, 2, 10, 1, 9, 7, 3]","[[8, 2, 'M', 1, 7, 3], [4, 6, 5, 10, 9, 'M'], [8, 5, 2, 1, 9, 'M'], [4, 6, 10, 7, 3, 'M']]",150.01439681576827,"[4, 8, 6, 5, 2, 10, 1, 9, 7, 3]","[[8, 2, 'M', 1, 7, 3], [4, 6, 5, 10, 9, 'M'], [8, 5, 2, 1, 9, 'M'], [4, 6, 10, 7, 3, 'M']]",0.017845869064331055
8,395.5024070748529,"[6, 3, 9, 8, 1, 4, 10, 7, 2, 5]","[[6, 8, 'M', 4, 10], [3, 9, 'M', 1, 7, 2, 5], ['M', 9, 8, 1, 4, 10], ['M', 6, 3, 7, 2, 5]]",229.92145667421698,"[9, 6, 1, 8, 3, 4, 10, 7, 2, 5]","[[6, 8, 'M', 4, 10], [9, 'M', 1, 3, 7, 2, 5], [9, 1, 8, 4, 10, 'M'], ['M', 6, 3, 7, 2, 5]]",229.92145667421698,"[9, 6, 1, 8, 3, 4, 10, 7, 2, 5]","[[6, 8, 'M', 4, 10], [9, 'M', 1, 3, 7, 2, 5], [9, 1, 8, 4, 10, 'M'], ['M', 6, 3, 7, 2, 5]]",0.018755197525024414
9,223.0552947848465,"[8, 7, 1, 10, 2, 5, 9, 3, 6, 4]","[[7, 1, 10, 5, 'M', 6, 4], [8, 2, 9, 3, 'M'], ['M', 8, 7, 10, 5, 9], ['M', 1, 2, 3, 6, 4]]",104.93439261875977,"[7, 2, 1, 4, 8, 10, 9, 3, 5, 6]","[[7, 1, 4, 10, 5, 6, 'M'], [2, 8, 9, 3, 'M'], ['M', 7, 8, 10, 9, 5], ['M', 2, 1, 4, 3, 6]]",104.93439261875977,"[7, 2, 1, 4, 8, 10, 9, 3, 5, 6]","[[7, 1, 4, 10, 5, 6, 'M'], [2, 8, 9, 3, 'M'], ['M', 7, 8, 10, 9, 5], ['M', 2, 1, 4, 3, 6]]",0.019110918045043945
10,314.3066580224486,"[8, 1, 2, 9, 4, 3, 10, 7, 6, 5]","[[4, 10, 6, 5, 'M'], [8, 1, 2, 9, 3, 7, 'M'], ['M', 8, 1, 4, 10, 6], ['M', 2, 9, 3, 7, 5]]",147.54265125112428,"[1, 4, 10, 2, 3, 9, 6, 5, 8, 7]","[[4, 10, 6, 5, 'M'], [1, 2, 3, 9, 8, 7, 'M'], ['M', 1, 4, 10, 6, 8], ['M', 2, 3, 9, 5, 7]]",147.54265125112428,"[1, 4, 10, 2, 3, 9, 6, 5, 8, 7]","[[4, 10, 6, 5, 'M'], [1, 2, 3, 9, 8, 7, 'M'], ['M', 1, 4, 10, 6, 8], ['M', 2, 3, 9, 5, 7]]",0.01512289047241211
