,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,271.0329327815513,"[10, 1, 9, 6, 4, 3, 7, 5, 2, 8]","[['M', 1, 3, 5, 2, 8], ['M', 10, 9, 6, 4, 7], ['M', 10, 1, 6, 2, 8], ['M', 9, 4, 3, 7, 5]]",112.34023250352186,"[8, 10, 9, 1, 6, 3, 2, 7, 5, 4]","[['M', 8, 1, 3, 2, 5], ['M', 10, 9, 6, 7, 4], ['M', 8, 10, 1, 6, 2], ['M', 9, 3, 7, 5, 4]]",106.9478043640399,"[8, 10, 9, 1, 6, 3, 2, 7, 5, 4]","[['M', 8, 1, 3, 7, 5], ['M', 10, 9, 6, 2, 4], ['M', 10, 1, 6, 2, 4], ['M', 8, 9, 3, 7, 5]]",0.3754861354827881
2,264.08676259167106,"[3, 2, 1, 8, 4, 10, 7, 5, 9, 6]","[['M', 10, 5, 9, 6], ['M', 3, 2, 1, 8, 4, 7], ['M', 1, 8, 4, 5, 6], ['M', 3, 2, 10, 7, 9]]",126.11431500951281,"[10, 6, 3, 8, 2, 1, 7, 5, 9, 4]","[['M', 10, 6, 5, 9], ['M', 3, 8, 2, 1, 7, 4], ['M', 6, 8, 1, 5, 4], ['M', 10, 3, 2, 7, 9]]",124.28071685012205,"[10, 6, 3, 8, 2, 1, 7, 5, 9, 4]","[['M', 10, 6, 5, 9], ['M', 3, 8, 2, 1, 7, 4], ['M', 6, 8, 1, 7, 9], ['M', 10, 3, 2, 5, 4]]",0.32952117919921875
3,463.6826630162447,"[6, 5, 10, 2, 9, 3, 4, 8, 7, 1]","[['M', 5, 10, 9, 3, 1], ['M', 6, 2, 4, 8, 7], ['M', 6, 10, 2, 9, 1], ['M', 5, 3, 4, 8, 7]]",222.92777505835835,"[3, 2, 6, 10, 5, 1, 4, 7, 8, 9]","[['M', 3, 10, 5, 1, 9], ['M', 2, 6, 4, 7, 8], ['M', 2, 6, 10, 1, 9], ['M', 3, 5, 4, 7, 8]]",222.92777505835835,"[3, 2, 6, 10, 5, 1, 4, 7, 8, 9]","[['M', 3, 10, 5, 1, 9], ['M', 2, 6, 4, 7, 8], ['M', 2, 6, 10, 1, 9], ['M', 3, 5, 4, 7, 8]]",0.35348987579345703
4,56.97240683944506,"[9, 10, 5, 7, 3, 4, 8, 1, 6, 2]","[['M', 10, 7, 8, 1, 6], ['M', 9, 5, 3, 4, 2], ['M', 10, 7, 8, 1, 2], ['M', 9, 5, 3, 4, 6]]",22.471904193556306,"[4, 10, 7, 1, 9, 3, 5, 8, 6, 2]","[['M', 10, 7, 1, 8, 6], ['M', 4, 9, 3, 5, 2], ['M', 10, 7, 1, 8, 2], ['M', 4, 9, 3, 5, 6]]",20.636190770658008,"[4, 10, 7, 1, 9, 3, 5, 8, 6, 2]","[['M', 10, 7, 1, 8, 2], ['M', 4, 9, 3, 5, 6], ['M', 10, 7, 1, 5, 6], ['M', 4, 9, 3, 8, 2]]",0.42855095863342285
5,167.5335971260705,"[3, 6, 10, 5, 4, 8, 7, 2, 9, 1]","[['M', 3, 10, 4, 2, 9, 1], ['M', 6, 5, 8, 7], ['M', 3, 6, 10, 5, 2], ['M', 4, 8, 7, 9, 1]]",150.11008604945886,"[3, 5, 6, 9, 4, 8, 7, 2, 10, 1]","[['M', 3, 9, 4, 2, 10, 1], ['M', 5, 6, 8, 7], ['M', 3, 5, 6, 2, 10], ['M', 9, 4, 8, 7, 1]]",150.11008604945886,"[3, 5, 6, 9, 4, 8, 7, 2, 10, 1]","[['M', 3, 9, 4, 2, 10, 1], ['M', 5, 6, 8, 7], ['M', 3, 5, 6, 2, 10], ['M', 9, 4, 8, 7, 1]]",0.4258430004119873
6,170.09636158456252,"[6, 4, 2, 10, 8, 1, 9, 3, 7, 5]","[['M', 6, 4, 2, 9, 3], ['M', 10, 8, 1, 7, 5], ['M', 6, 4, 3, 7, 5], ['M', 2, 10, 8, 1, 9]]",89.29204925057871,"[2, 4, 8, 7, 9, 6, 1, 3, 10, 5]","[['M', 2, 4, 9, 6, 3], ['M', 8, 7, 1, 10, 5], ['M', 4, 7, 6, 3, 5], ['M', 2, 8, 9, 1, 10]]",79.40054795878262,"[2, 4, 8, 7, 9, 6, 1, 3, 10, 5]","[['M', 4, 7, 6, 1, 3], ['M', 2, 8, 9, 10, 5], ['M', 4, 8, 6, 10, 5], ['M', 2, 7, 9, 1, 3]]",0.4084939956665039
7,343.6964908315763,"[2, 6, 7, 9, 8, 4, 10, 3, 5, 1]","[['M', 2, 7, 9, 4, 10, 3], ['M', 6, 8, 5, 1], ['M', 6, 7, 8, 3, 5], ['M', 2, 9, 4, 10, 1]]",139.854688511399,"[9, 7, 6, 8, 5, 4, 10, 2, 3, 1]","[['M', 9, 7, 4, 10, 2, 3], ['M', 6, 8, 5, 1], ['M', 7, 6, 8, 5, 3], ['M', 9, 4, 10, 2, 1]]",139.33226900438885,"[9, 7, 6, 8, 5, 4, 10, 2, 3, 1]","[['M', 9, 7, 4, 10, 2, 1], ['M', 6, 8, 5, 3], ['M', 7, 6, 8, 5, 3], ['M', 9, 4, 10, 2, 1]]",0.40753984451293945
8,175.28499616681685,"[4, 5, 6, 8, 1, 9, 10, 2, 3, 7]","[['M', 4, 5, 9, 10, 2], ['M', 6, 8, 1, 3, 7], ['M', 4, 6, 8, 2, 3], ['M', 5, 1, 9, 10, 7]]",60.410965517753354,"[9, 5, 8, 4, 1, 6, 10, 3, 2, 7]","[['M', 9, 5, 4, 10, 2], ['M', 8, 1, 6, 3, 7], ['M', 8, 4, 6, 3, 2], ['M', 9, 5, 1, 10, 7]]",49.12777339747458,"[9, 5, 8, 4, 1, 6, 10, 3, 2, 7]","[['M', 9, 8, 4, 6, 10], ['M', 5, 1, 3, 2, 7], ['M', 8, 4, 1, 3, 2], ['M', 9, 5, 6, 10, 7]]",0.3343198299407959
9,210.70818785324394,"[3, 5, 2, 4, 6, 10, 9, 1, 7, 8]","[['M', 3, 5, 10, 8], ['M', 2, 4, 6, 9, 1, 7], ['M', 2, 4, 7, 8], ['M', 3, 5, 6, 10, 9, 1]]",90.93958503502374,"[2, 3, 5, 4, 7, 9, 10, 1, 6, 8]","[['M', 3, 5, 10, 8], ['M', 2, 4, 7, 9, 1, 6], ['M', 2, 4, 7, 8], ['M', 3, 5, 9, 10, 1, 6]]",90.3463361782441,"[2, 3, 5, 4, 7, 9, 10, 1, 6, 8]","[['M', 3, 5, 9, 8], ['M', 2, 4, 7, 10, 1, 6], ['M', 2, 4, 7, 8], ['M', 3, 5, 9, 10, 1, 6]]",0.412463903427124
10,146.5484494603357,"[9, 4, 6, 2, 3, 8, 1, 5, 7, 10]","[['M', 9, 4, 8, 1, 5], ['M', 6, 2, 3, 7, 10], ['M', 6, 2, 3, 10], ['M', 9, 4, 8, 1, 5, 7]]",69.75158437658104,"[7, 9, 4, 2, 6, 3, 1, 5, 8, 10]","[['M', 9, 4, 1, 5, 8], ['M', 7, 2, 6, 3, 10], ['M', 2, 6, 3, 10], ['M', 7, 9, 4, 1, 5, 8]]",69.75158437658104,"[7, 9, 4, 2, 6, 3, 1, 5, 8, 10]","[['M', 9, 4, 1, 5, 8], ['M', 7, 2, 6, 3, 10], ['M', 2, 6, 3, 10], ['M', 7, 9, 4, 1, 5, 8]]",0.4135260581970215
